"","x"
"1059","PNPLA3"
"1060","ARF4P4"
"1061","COG3"
"1062","RNU5A-8P"
"1063","MC4R"
"1064","BPNT2P1"
"1065","LINC01903"
"1066","TMX3"
"1067","EFCAB6"
"1068","ADRA1D"
"1069","RSPO4"
"1070","LINC01309"
"1071","SRGNP1"
"1072","GAPDHP34"
"1073","LRCH1"
"1074","DEFB129"
"1075","ANGPT4"
"1076","RPL31P9"
"1077","LINC03111"
"1078","CTBP2P3"
"1079","DYNLT3P1"
"1080","DHFRP1"
"1081","BDP1P"
"1082","SHLD1"
"1083","CDH20"
"1084","SLX4IP"
"1085","MIR5692B"
"1086","PKNOX1"
"1087","TBC1D22A"
"1088","EEF1A1P34"
"1089","DEFB125"
"1090","SCEL-AS1"
"1091","COX5BP6"
"1092","NXT1P1"
"1093","FTLP8"
"1094","SRSF10P2"
"1095","BMP2"
"1096","CDADC1"
"1097","MTL3P"
"1098","RPL30P14"
"1099","PTPN2"
"1100","FAM110A"
"1101","ZDHHC4P1"
"1102","DDX6P2"
"1103","INSM1"
"1104","DIS3"
"1105","LIN28AP3"
"1106","DEFB128"
"1107","DEFB126"
"1108","LINC03086"
"1109","BTBD3"
"1110","CBS"
"1111","RPL7P2"
"1112","EIF4E2P1"
"1113","PCSK2"
"1114","LINC00351"
"1115","LINC00383"
"1116","SINHCAFP2"
"1117","RPS3AP49"
"1118","LINC00353"
"1119","PEX12P1"
"1120","ZNF343"
"1121","PRR20C"
"1122","PHLPP1"
"1123","TCEAL4P1"
"1124","GAPDHP69"
"1125","NUS1P4"
"1126","SLITRK6"
"1127","RPL27AP8"
"1128","CYCSP35"
"1129","NUS1P3"
"1130","ZMYM5"
"1131","CDH19"
"1132","PA2G4P2"
"1133","ISM1"
"1134","RPL3"
"1135","NALF1-IT1"
"1136","SOX1"
"1137","CALM2P4"
"1138","CST5"
"1139","MYO16"
"1140","RPL7AP13"
"1141","CENATACP1"
"1142","PGAM3P"
"1143","SYNDIG1"
"1144","RPS11P1"
"1145","XRN2"
"1146","LINC02565"
"1147","RAC1P1"
"1148","RPS2P6"
"1149","C18ORF21"
"1150","MRPL51P2"
"1151","U2AF1"
"1152","KCTD1"
"1153","SNRPB2"
"1154","RPL7AP61"
"1155","DPPA3P3"
"1156","AKR1B1P4"
"1157","IRS2"
"1158","SPACA7"
"1159","GAPDHP2"
"1160","PCMTD1P7"
"1161","CST7"
"1162","GYG1P2"
"1163","RIOK3P1"
"1164","STOML3"
"1165","SLC39A6"
"1166","GTSE1"
"1167","APMAP"
"1168","LINC01043"
"1169","ANKRD10"
"1170","NRBF2P1"
"1171","BFSP1"
"1172","AIDAP3"
"1173","ZBTB14"
"1174","SETD4"
"1175","LINC01044"
"1176","SSR1P2"
"1177","RPL7L1P1"
"1178","NALF1"
"1179","RPL7P45"
"1180","MRPS18CP6"
"1181","PCCA"
"1182","COX5BP7"
"1183","SAMM50"
"1184","NPM1P2"
"1185","GALR1"
"1186","ZNF521"
"1187","PDYN-AS1"
"1188","CFTRP2"
"1189","GGTLC1"
"1190","LINC02974"
"1191","SCML2P1"
"1192","POM121L3P"
"1193","AKR1B10P2"
"1194","PLEKHB2P1"
"1195","CST2"
"1196","IMPACT"
"1197","DSTN"
"1198","TTC38"
"1199","CFTRP3"
"1200","STK35"
"1201","DUX4L35"
"1202","SDHCP1"
"1203","SCRT2"
"1204","CBLN2"
"1205","NCOA6"
"1206","TUBGCP3"
"1207","MTCO1P3"
"1208","COL18A1-AS2"
"1209","COL18A1-AS1"
"1210","TRIOBP"
"1211","MIR6815"
"1212","SLC19A1"
"1213","KRT8P5"
"1214","LINC01898"
"1215","MBP"
"1216","COL18A1"
"1217","DEFB127"
"1218","SPTLC3"
"1219","DUX4L32"
"1220","DUX4L33"
"1221","DEFB115"
"1222","MTFR2P2"
"1223","PIM3"
"1224","CST2P1"
"1225","SLC23A2"
"1226","GTSE1-DT"
"1227","DENND6B"
"1228","OBI1"
"1229","TRIM60P13"
"1230","AZU1P1"
"1231","BNIP3P7"
"1232","UBL3"
